colour	y	x	group	clickSelects	showSelected1	PANEL
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	1
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	1
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	1
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	1
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	1
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	1
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	1
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	1
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	1
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	1
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	1
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	1
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	1
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	1
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	1
#FF0000	0.526666666666667	1.32221929473392	4	1	rpart	1
#FF0000	0.49	1.67209785793572	4	1	rpart	1
#FF0000	0.52	2.04532297878666	4	1	rpart	1
#FF0000	0.503333333333333	2.41329976408125	4	1	rpart	1
#FF0000	0.486666666666667	2.77815125038364	4	1	rpart	1
#FF0000	0.516666666666667	1.32221929473392	5	2	rpart	1
#FF0000	0.51	1.67209785793572	5	2	rpart	1
#FF0000	0.503333333333333	2.04532297878666	5	2	rpart	1
#FF0000	0.473333333333333	2.41329976408125	5	2	rpart	1
#FF0000	0.486666666666667	2.77815125038364	5	2	rpart	1
#FF0000	0.486666666666667	1.32221929473392	6	3	rpart	1
#FF0000	0.476666666666667	1.67209785793572	6	3	rpart	1
#FF0000	0.466666666666667	2.04532297878666	6	3	rpart	1
#FF0000	0.506666666666667	2.41329976408125	6	3	rpart	1
#FF0000	0.486666666666667	2.77815125038364	6	3	rpart	1
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	2
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	2
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	2
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	2
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	2
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	2
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	2
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	2
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	2
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	2
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	2
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	2
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	2
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	2
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	2
#FF0000	0.52	1.32221929473392	4	1	rpart	2
#FF0000	0.206666666666667	1.67209785793572	4	1	rpart	2
#FF0000	0.186666666666667	2.04532297878666	4	1	rpart	2
#FF0000	0.186666666666667	2.41329976408125	4	1	rpart	2
#FF0000	0.163333333333333	2.77815125038364	4	1	rpart	2
#FF0000	0.476666666666667	1.32221929473392	5	2	rpart	2
#FF0000	0.303333333333333	1.67209785793572	5	2	rpart	2
#FF0000	0.336666666666667	2.04532297878666	5	2	rpart	2
#FF0000	0.143333333333333	2.41329976408125	5	2	rpart	2
#FF0000	0.163333333333333	2.77815125038364	5	2	rpart	2
#FF0000	0.48	1.32221929473392	6	3	rpart	2
#FF0000	0.343333333333333	1.67209785793572	6	3	rpart	2
#FF0000	0.213333333333333	2.04532297878666	6	3	rpart	2
#FF0000	0.193333333333333	2.41329976408125	6	3	rpart	2
#FF0000	0.163333333333333	2.77815125038364	6	3	rpart	2
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	3
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	3
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	3
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	3
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	3
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	3
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	3
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	3
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	3
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	3
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	3
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	3
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	3
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	3
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	3
#FF0000	0.5	1.32221929473392	4	1	rpart	3
#FF0000	0.473333333333333	1.67209785793572	4	1	rpart	3
#FF0000	0.513333333333333	2.04532297878666	4	1	rpart	3
#FF0000	0.506666666666667	2.41329976408125	4	1	rpart	3
#FF0000	0.456666666666667	2.77815125038364	4	1	rpart	3
#FF0000	0.443333333333333	1.32221929473392	5	2	rpart	3
#FF0000	0.516666666666667	1.67209785793572	5	2	rpart	3
#FF0000	0.503333333333333	2.04532297878666	5	2	rpart	3
#FF0000	0.506666666666667	2.41329976408125	5	2	rpart	3
#FF0000	0.456666666666667	2.77815125038364	5	2	rpart	3
#FF0000	0.57	1.32221929473392	6	3	rpart	3
#FF0000	0.47	1.67209785793572	6	3	rpart	3
#FF0000	0.526666666666667	2.04532297878666	6	3	rpart	3
#FF0000	0.453333333333333	2.41329976408125	6	3	rpart	3
#FF0000	0.456666666666667	2.77815125038364	6	3	rpart	3
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	4
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	4
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	4
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	4
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	4
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	4
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	4
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	4
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	4
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	4
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	4
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	4
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	4
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	4
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	4
#FF0000	0.54	1.32221929473392	4	1	rpart	4
#FF0000	0.39	1.67209785793572	4	1	rpart	4
#FF0000	0.29	2.04532297878666	4	1	rpart	4
#FF0000	0.153333333333333	2.41329976408125	4	1	rpart	4
#FF0000	0.173333333333333	2.77815125038364	4	1	rpart	4
#FF0000	0.5	1.32221929473392	5	2	rpart	4
#FF0000	0.326666666666667	1.67209785793572	5	2	rpart	4
#FF0000	0.17	2.04532297878666	5	2	rpart	4
#FF0000	0.176666666666667	2.41329976408125	5	2	rpart	4
#FF0000	0.173333333333333	2.77815125038364	5	2	rpart	4
#FF0000	0.45	1.32221929473392	6	3	rpart	4
#FF0000	0.366666666666667	1.67209785793572	6	3	rpart	4
#FF0000	0.203333333333333	2.04532297878666	6	3	rpart	4
#FF0000	0.233333333333333	2.41329976408125	6	3	rpart	4
#FF0000	0.173333333333333	2.77815125038364	6	3	rpart	4
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	5
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	5
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	5
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	5
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	5
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	5
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	5
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	5
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	5
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	5
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	5
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	5
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	5
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	5
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	5
#FF0000	0.556666666666667	1.32221929473392	4	1	rpart	5
#FF0000	0.57	1.67209785793572	4	1	rpart	5
#FF0000	0.466666666666667	2.04532297878666	4	1	rpart	5
#FF0000	0.476666666666667	2.41329976408125	4	1	rpart	5
#FF0000	0.49	2.77815125038364	4	1	rpart	5
#FF0000	0.44	1.32221929473392	5	2	rpart	5
#FF0000	0.416666666666667	1.67209785793572	5	2	rpart	5
#FF0000	0.473333333333333	2.04532297878666	5	2	rpart	5
#FF0000	0.463333333333333	2.41329976408125	5	2	rpart	5
#FF0000	0.49	2.77815125038364	5	2	rpart	5
#FF0000	0.433333333333333	1.32221929473392	6	3	rpart	5
#FF0000	0.45	1.67209785793572	6	3	rpart	5
#FF0000	0.476666666666667	2.04532297878666	6	3	rpart	5
#FF0000	0.416666666666667	2.41329976408125	6	3	rpart	5
#FF0000	0.49	2.77815125038364	6	3	rpart	5
#0000FF	0.486666666666667	1.32221929473392	1	1	featureless	6
#0000FF	0.486666666666667	1.67209785793572	1	1	featureless	6
#0000FF	0.486666666666667	2.04532297878666	1	1	featureless	6
#0000FF	0.486666666666667	2.41329976408125	1	1	featureless	6
#0000FF	0.486666666666667	2.77815125038364	1	1	featureless	6
#0000FF	0.486666666666667	1.32221929473392	2	2	featureless	6
#0000FF	0.486666666666667	1.67209785793572	2	2	featureless	6
#0000FF	0.486666666666667	2.04532297878666	2	2	featureless	6
#0000FF	0.486666666666667	2.41329976408125	2	2	featureless	6
#0000FF	0.486666666666667	2.77815125038364	2	2	featureless	6
#0000FF	0.486666666666667	1.32221929473392	3	3	featureless	6
#0000FF	0.486666666666667	1.67209785793572	3	3	featureless	6
#0000FF	0.486666666666667	2.04532297878666	3	3	featureless	6
#0000FF	0.486666666666667	2.41329976408125	3	3	featureless	6
#0000FF	0.486666666666667	2.77815125038364	3	3	featureless	6
#FF0000	0.53	1.32221929473392	4	1	rpart	6
#FF0000	0.476666666666667	1.67209785793572	4	1	rpart	6
#FF0000	0.246666666666667	2.04532297878666	4	1	rpart	6
#FF0000	0.173333333333333	2.41329976408125	4	1	rpart	6
#FF0000	0.18	2.77815125038364	4	1	rpart	6
#FF0000	0.506666666666667	1.32221929473392	5	2	rpart	6
#FF0000	0.456666666666667	1.67209785793572	5	2	rpart	6
#FF0000	0.176666666666667	2.04532297878666	5	2	rpart	6
#FF0000	0.246666666666667	2.41329976408125	5	2	rpart	6
#FF0000	0.18	2.77815125038364	5	2	rpart	6
#FF0000	0.496666666666667	1.32221929473392	6	3	rpart	6
#FF0000	0.263333333333333	1.67209785793572	6	3	rpart	6
#FF0000	0.213333333333333	2.04532297878666	6	3	rpart	6
#FF0000	0.186666666666667	2.41329976408125	6	3	rpart	6
#FF0000	0.18	2.77815125038364	6	3	rpart	6
