colour	y	x	clickSelects	showSelected1	showSelected2	PANEL
#FF0000	0.463333333333333	2.41329976408125	39	rpart	2	5
#FF0000	0.49	2.77815125038364	40	rpart	2	5
#FF0000	0.433333333333333	1.32221929473392	41	rpart	3	5
#FF0000	0.45	1.67209785793572	42	rpart	3	5
#FF0000	0.476666666666667	2.04532297878666	43	rpart	3	5
#FF0000	0.416666666666667	2.41329976408125	44	rpart	3	5
#FF0000	0.49	2.77815125038364	45	rpart	3	5
#0000FF	0.486666666666667	1.32221929473392	31	featureless	1	5
#0000FF	0.486666666666667	1.67209785793572	32	featureless	1	5
#0000FF	0.486666666666667	2.04532297878666	33	featureless	1	5
#0000FF	0.486666666666667	2.41329976408125	34	featureless	1	5
#0000FF	0.486666666666667	2.77815125038364	35	featureless	1	5
#0000FF	0.486666666666667	1.32221929473392	36	featureless	2	5
#0000FF	0.486666666666667	1.67209785793572	37	featureless	2	5
#0000FF	0.486666666666667	2.04532297878666	38	featureless	2	5
#0000FF	0.486666666666667	2.41329976408125	39	featureless	2	5
#0000FF	0.486666666666667	2.77815125038364	40	featureless	2	5
#0000FF	0.486666666666667	1.32221929473392	41	featureless	3	5
#0000FF	0.486666666666667	1.67209785793572	42	featureless	3	5
#0000FF	0.486666666666667	2.04532297878666	43	featureless	3	5
#0000FF	0.486666666666667	2.41329976408125	44	featureless	3	5
#0000FF	0.486666666666667	2.77815125038364	45	featureless	3	5
#FF0000	0.53	1.32221929473392	31	rpart	1	6
#FF0000	0.476666666666667	1.67209785793572	32	rpart	1	6
#FF0000	0.246666666666667	2.04532297878666	33	rpart	1	6
#FF0000	0.173333333333333	2.41329976408125	34	rpart	1	6
#FF0000	0.18	2.77815125038364	35	rpart	1	6
#FF0000	0.506666666666667	1.32221929473392	36	rpart	2	6
#FF0000	0.456666666666667	1.67209785793572	37	rpart	2	6
#FF0000	0.176666666666667	2.04532297878666	38	rpart	2	6
#FF0000	0.246666666666667	2.41329976408125	39	rpart	2	6
#FF0000	0.18	2.77815125038364	40	rpart	2	6
#FF0000	0.496666666666667	1.32221929473392	41	rpart	3	6
#FF0000	0.263333333333333	1.67209785793572	42	rpart	3	6
#FF0000	0.213333333333333	2.04532297878666	43	rpart	3	6
#FF0000	0.186666666666667	2.41329976408125	44	rpart	3	6
#FF0000	0.18	2.77815125038364	45	rpart	3	6
#0000FF	0.486666666666667	1.32221929473392	31	featureless	1	6
#0000FF	0.486666666666667	1.67209785793572	32	featureless	1	6
#0000FF	0.486666666666667	2.04532297878666	33	featureless	1	6
#0000FF	0.486666666666667	2.41329976408125	34	featureless	1	6
#0000FF	0.486666666666667	2.77815125038364	35	featureless	1	6
#0000FF	0.486666666666667	1.32221929473392	36	featureless	2	6
#0000FF	0.486666666666667	1.67209785793572	37	featureless	2	6
#0000FF	0.486666666666667	2.04532297878666	38	featureless	2	6
#0000FF	0.486666666666667	2.41329976408125	39	featureless	2	6
#0000FF	0.486666666666667	2.77815125038364	40	featureless	2	6
#0000FF	0.486666666666667	1.32221929473392	41	featureless	3	6
#0000FF	0.486666666666667	1.67209785793572	42	featureless	3	6
#0000FF	0.486666666666667	2.04532297878666	43	featureless	3	6
#0000FF	0.486666666666667	2.41329976408125	44	featureless	3	6
#0000FF	0.486666666666667	2.77815125038364	45	featureless	3	6
