colour	y	x	clickSelects	showSelected1	showSelected2	PANEL
#FF0000	0.526666666666667	1.32221929473392	1	rpart	1	1
#FF0000	0.49	1.67209785793572	2	rpart	1	1
#FF0000	0.52	2.04532297878666	3	rpart	1	1
#FF0000	0.503333333333333	2.41329976408125	4	rpart	1	1
#FF0000	0.486666666666667	2.77815125038364	5	rpart	1	1
#FF0000	0.516666666666667	1.32221929473392	6	rpart	2	1
#FF0000	0.51	1.67209785793572	7	rpart	2	1
#FF0000	0.503333333333333	2.04532297878666	8	rpart	2	1
#FF0000	0.473333333333333	2.41329976408125	9	rpart	2	1
#FF0000	0.486666666666667	2.77815125038364	10	rpart	2	1
#FF0000	0.486666666666667	1.32221929473392	11	rpart	3	1
#FF0000	0.476666666666667	1.67209785793572	12	rpart	3	1
#FF0000	0.466666666666667	2.04532297878666	13	rpart	3	1
#FF0000	0.506666666666667	2.41329976408125	14	rpart	3	1
#FF0000	0.486666666666667	2.77815125038364	15	rpart	3	1
#0000FF	0.486666666666667	1.32221929473392	1	featureless	1	1
#0000FF	0.486666666666667	1.67209785793572	2	featureless	1	1
#0000FF	0.486666666666667	2.04532297878666	3	featureless	1	1
#0000FF	0.486666666666667	2.41329976408125	4	featureless	1	1
#0000FF	0.486666666666667	2.77815125038364	5	featureless	1	1
#0000FF	0.486666666666667	1.32221929473392	6	featureless	2	1
#0000FF	0.486666666666667	1.67209785793572	7	featureless	2	1
#0000FF	0.486666666666667	2.04532297878666	8	featureless	2	1
#0000FF	0.486666666666667	2.41329976408125	9	featureless	2	1
#0000FF	0.486666666666667	2.77815125038364	10	featureless	2	1
#0000FF	0.486666666666667	1.32221929473392	11	featureless	3	1
#0000FF	0.486666666666667	1.67209785793572	12	featureless	3	1
#0000FF	0.486666666666667	2.04532297878666	13	featureless	3	1
#0000FF	0.486666666666667	2.41329976408125	14	featureless	3	1
#0000FF	0.486666666666667	2.77815125038364	15	featureless	3	1
#FF0000	0.52	1.32221929473392	1	rpart	1	2
#FF0000	0.206666666666667	1.67209785793572	2	rpart	1	2
#FF0000	0.186666666666667	2.04532297878666	3	rpart	1	2
#FF0000	0.186666666666667	2.41329976408125	4	rpart	1	2
#FF0000	0.163333333333333	2.77815125038364	5	rpart	1	2
#FF0000	0.476666666666667	1.32221929473392	6	rpart	2	2
#FF0000	0.303333333333333	1.67209785793572	7	rpart	2	2
#FF0000	0.336666666666667	2.04532297878666	8	rpart	2	2
#FF0000	0.143333333333333	2.41329976408125	9	rpart	2	2
#FF0000	0.163333333333333	2.77815125038364	10	rpart	2	2
#FF0000	0.48	1.32221929473392	11	rpart	3	2
#FF0000	0.343333333333333	1.67209785793572	12	rpart	3	2
#FF0000	0.213333333333333	2.04532297878666	13	rpart	3	2
#FF0000	0.193333333333333	2.41329976408125	14	rpart	3	2
#FF0000	0.163333333333333	2.77815125038364	15	rpart	3	2
#0000FF	0.486666666666667	1.32221929473392	1	featureless	1	2
#0000FF	0.486666666666667	1.67209785793572	2	featureless	1	2
#0000FF	0.486666666666667	2.04532297878666	3	featureless	1	2
#0000FF	0.486666666666667	2.41329976408125	4	featureless	1	2
#0000FF	0.486666666666667	2.77815125038364	5	featureless	1	2
#0000FF	0.486666666666667	1.32221929473392	6	featureless	2	2
#0000FF	0.486666666666667	1.67209785793572	7	featureless	2	2
#0000FF	0.486666666666667	2.04532297878666	8	featureless	2	2
#0000FF	0.486666666666667	2.41329976408125	9	featureless	2	2
#0000FF	0.486666666666667	2.77815125038364	10	featureless	2	2
#0000FF	0.486666666666667	1.32221929473392	11	featureless	3	2
#0000FF	0.486666666666667	1.67209785793572	12	featureless	3	2
#0000FF	0.486666666666667	2.04532297878666	13	featureless	3	2
#0000FF	0.486666666666667	2.41329976408125	14	featureless	3	2
#0000FF	0.486666666666667	2.77815125038364	15	featureless	3	2
#FF0000	0.5	1.32221929473392	16	rpart	1	3
#FF0000	0.473333333333333	1.67209785793572	17	rpart	1	3
#FF0000	0.513333333333333	2.04532297878666	18	rpart	1	3
#FF0000	0.506666666666667	2.41329976408125	19	rpart	1	3
#FF0000	0.456666666666667	2.77815125038364	20	rpart	1	3
#FF0000	0.443333333333333	1.32221929473392	21	rpart	2	3
#FF0000	0.516666666666667	1.67209785793572	22	rpart	2	3
#FF0000	0.503333333333333	2.04532297878666	23	rpart	2	3
#FF0000	0.506666666666667	2.41329976408125	24	rpart	2	3
#FF0000	0.456666666666667	2.77815125038364	25	rpart	2	3
#FF0000	0.57	1.32221929473392	26	rpart	3	3
#FF0000	0.47	1.67209785793572	27	rpart	3	3
#FF0000	0.526666666666667	2.04532297878666	28	rpart	3	3
#FF0000	0.453333333333333	2.41329976408125	29	rpart	3	3
#FF0000	0.456666666666667	2.77815125038364	30	rpart	3	3
#0000FF	0.486666666666667	1.32221929473392	16	featureless	1	3
#0000FF	0.486666666666667	1.67209785793572	17	featureless	1	3
#0000FF	0.486666666666667	2.04532297878666	18	featureless	1	3
#0000FF	0.486666666666667	2.41329976408125	19	featureless	1	3
#0000FF	0.486666666666667	2.77815125038364	20	featureless	1	3
#0000FF	0.486666666666667	1.32221929473392	21	featureless	2	3
#0000FF	0.486666666666667	1.67209785793572	22	featureless	2	3
#0000FF	0.486666666666667	2.04532297878666	23	featureless	2	3
#0000FF	0.486666666666667	2.41329976408125	24	featureless	2	3
#0000FF	0.486666666666667	2.77815125038364	25	featureless	2	3
#0000FF	0.486666666666667	1.32221929473392	26	featureless	3	3
#0000FF	0.486666666666667	1.67209785793572	27	featureless	3	3
#0000FF	0.486666666666667	2.04532297878666	28	featureless	3	3
#0000FF	0.486666666666667	2.41329976408125	29	featureless	3	3
#0000FF	0.486666666666667	2.77815125038364	30	featureless	3	3
#FF0000	0.54	1.32221929473392	16	rpart	1	4
#FF0000	0.39	1.67209785793572	17	rpart	1	4
#FF0000	0.29	2.04532297878666	18	rpart	1	4
#FF0000	0.153333333333333	2.41329976408125	19	rpart	1	4
#FF0000	0.173333333333333	2.77815125038364	20	rpart	1	4
#FF0000	0.5	1.32221929473392	21	rpart	2	4
#FF0000	0.326666666666667	1.67209785793572	22	rpart	2	4
#FF0000	0.17	2.04532297878666	23	rpart	2	4
#FF0000	0.176666666666667	2.41329976408125	24	rpart	2	4
#FF0000	0.173333333333333	2.77815125038364	25	rpart	2	4
#FF0000	0.45	1.32221929473392	26	rpart	3	4
#FF0000	0.366666666666667	1.67209785793572	27	rpart	3	4
#FF0000	0.203333333333333	2.04532297878666	28	rpart	3	4
#FF0000	0.233333333333333	2.41329976408125	29	rpart	3	4
#FF0000	0.173333333333333	2.77815125038364	30	rpart	3	4
#0000FF	0.486666666666667	1.32221929473392	16	featureless	1	4
#0000FF	0.486666666666667	1.67209785793572	17	featureless	1	4
#0000FF	0.486666666666667	2.04532297878666	18	featureless	1	4
#0000FF	0.486666666666667	2.41329976408125	19	featureless	1	4
#0000FF	0.486666666666667	2.77815125038364	20	featureless	1	4
#0000FF	0.486666666666667	1.32221929473392	21	featureless	2	4
#0000FF	0.486666666666667	1.67209785793572	22	featureless	2	4
#0000FF	0.486666666666667	2.04532297878666	23	featureless	2	4
#0000FF	0.486666666666667	2.41329976408125	24	featureless	2	4
#0000FF	0.486666666666667	2.77815125038364	25	featureless	2	4
#0000FF	0.486666666666667	1.32221929473392	26	featureless	3	4
#0000FF	0.486666666666667	1.67209785793572	27	featureless	3	4
#0000FF	0.486666666666667	2.04532297878666	28	featureless	3	4
#0000FF	0.486666666666667	2.41329976408125	29	featureless	3	4
#0000FF	0.486666666666667	2.77815125038364	30	featureless	3	4
#FF0000	0.556666666666667	1.32221929473392	31	rpart	1	5
#FF0000	0.57	1.67209785793572	32	rpart	1	5
#FF0000	0.466666666666667	2.04532297878666	33	rpart	1	5
#FF0000	0.476666666666667	2.41329976408125	34	rpart	1	5
#FF0000	0.49	2.77815125038364	35	rpart	1	5
#FF0000	0.44	1.32221929473392	36	rpart	2	5
#FF0000	0.416666666666667	1.67209785793572	37	rpart	2	5
#FF0000	0.473333333333333	2.04532297878666	38	rpart	2	5
